Station_ID,Station_Name,Day of Go_live_date,Status,Latitude,Longitude
3169,2nd & Race,9/27/17,Active,39.953819,-75.142632
3170,Grays Ferry & Pemberton,6/5/17,Active,39.94426,-75.181343
3181,Crescent Park,6/26/18,Active,39.89629,-75.17514
3182,17th & Sansom,10/17/18,Active,39.950809,-75.169533
3183,15th & Kitty Hawk,6/19/18,Active,39.889938,-75.176788
3184,Health Sciences Drive,11/1/18,Active,39.945728,-75.195511
3185,11th & Market,9/28/18,Active,39.951691,-75.158882
3186,12th & Normandy,6/19/18,Active,39.89307,-75.171677
3187,20th & Race,9/25/18,Active,39.957249,-75.172318
3188,"Broad & Pattison, BSL",6/19/18,Active,39.904709,-75.173401
3190,17th & Locust,9/14/18,Active,39.948921,-75.169907
3192,2nd & Fairmount,8/14/18,Inactive,,
3195,18th & JFK Curbside,4/6/19,Inactive,,
3196,25th & Diamond,4/18/19,Active,39.987171,-75.174767
3197,Broad & Ritner,5/14/19,Active,39.92083,-75.170326
3200,Ridge & Master,6/27/19,Active,39.97583,-75.168457
3201,16th & Arch,9/10/19,Active,39.955231,-75.166199
3202,16th & Chestnut,8/30/19,Active,39.95134,-75.16758
3203,18th & Christian,11/7/19,Active,39.940769,-75.172272
3204,17th & Green,11/14/19,Active,39.964371,-75.165817
3205,17th & JFK,11/23/19,Active,39.954048,-75.167831
3206,18th & Chestnut,8/29/19,Active,39.95174,-75.170631
3207,34th & Chestnut,5/20/20,Active,39.954411,-75.192001
3208,34th & Spruce,10/5/19,Active,39.950481,-75.193237
3209,45th & Baltimore,9/11/19,Active,39.949001,-75.212784
3210,Broad & Diamond,8/28/19,Active,39.984921,-75.156677
3211,Corinthian & Poplar,2/6/20,Active,39.971722,-75.170601
3212,Schuylkill Banks Pergola,10/9/20,Active,39.963829,-75.18177
3213,Broad & Carpenter,9/16/20,Inactive,,
3214,Broad & Cecil B Moore,9/22/20,Inactive,,
3226,2nd & Norris,12/24/20,Active,39.98101,-75.137207
3233,Race & Franklin,5/14/21,Active,39.955009,-75.152077
